,unix,tusd_mcap
700,1582329600,140787305.30897534
701,1582416000,141354747.8348356
702,1582502400,140915554.72047922
703,1582588800,142224308.583883
704,1582675200,141601634.81156424
705,1582761600,141514493.54364127
706,1582848000,142050585.61041299
707,1582934400,142460246.5872862
708,1583020800,142414355.85975242
709,1583107200,141312836.58052865
710,1583193600,141134607.44900373
711,1583280000,135610831.51891983
712,1583366400,137202474.970717
713,1583452800,136529229.58459827
714,1583539200,137247126.86386463
715,1583625600,137039319.632055
716,1583712000,129804508.71643752
717,1583798400,128629883.70441894
718,1583884800,129090853.7180185
719,1583971200,120872262.56880113
720,1584057600,130286140.31675974
721,1584144000,134764063.34192765
722,1584230400,133840775.42333505
723,1584316800,136180556.75968313
724,1584403200,136339089.32455215
725,1584489600,136191955.52911848
726,1584576000,137408584.95313624
727,1584662400,139347056.85994288
728,1584748800,138660508.72531655
729,1584835200,138570364.8762656
730,1584921600,140679149.4624848
731,1585008000,133405455.3581841
732,1585094400,140053671.0368811
733,1585180800,140546593.8655409
734,1585267200,136638501.13802415
735,1585353600,139147535.29171592
736,1585440000,136964856.11757293
737,1585526400,135527840.1626179
738,1585612800,136435453.4784906
739,1585699200,136399530.45056298
740,1585785600,136238296.25088304
741,1585872000,134804889.58397737
742,1585958400,135370213.931193
743,1586044800,135908648.716371
744,1586131200,131126862.83772656
745,1586217600,135717636.52732104
746,1586304000,136090743.68626174
747,1586390400,135909154.4838696
748,1586476800,135445333.93380868
749,1586563200,136403727.11225405
750,1586649600,136555886.0175926
751,1586736000,137197552.30526796
752,1586822400,137331549.40106612
753,1586908800,137349087.91155922
754,1586995200,136577636.92257413
755,1587081600,136556474.23467195
756,1587168000,137358344.30548188
757,1587254400,136843368.92705038
758,1587340800,134190132.958831
759,1587427200,132067746.07521154
760,1587513600,131646555.87834002
761,1587600000,129946145.47288832
762,1587686400,130996057.98749055
763,1587772800,131713366.58237149
764,1587859200,131416136.10527112
765,1587945600,131741134.36139758
766,1588032000,134260753.34176442
767,1588118400,135580163.8194571
768,1588204800,137119269.98887727
769,1588291200,133205322.69057293
770,1588377600,133093836.21551044
771,1588464000,133318929.3770262
772,1588550400,136977369.37304372
773,1588636800,138168710.08096376
774,1588723200,137576947.2229825
775,1588809600,138129860.8263647
776,1588896000,138731993.77853644
777,1588982400,139073179.0851433
778,1589068800,140943165.90502405
779,1589155200,138942840.22517914
780,1589241600,138251010.50680384
781,1589328000,138451754.22156927
782,1589414400,140851101.64027932
783,1589500800,140910101.19777247
784,1589587200,140322510.67613825
785,1589673600,142353911.82067627
786,1589760000,142718717.0757183
787,1589846400,142833172.43626252
788,1589932800,143065751.30015284
789,1590019200,141118078.08488846
790,1590105600,140971174.70449686
791,1590192000,141394364.0239151
792,1590278400,141150712.1537565
793,1590364800,139044400.6698288
794,1590451200,139411236.90410167
795,1590537600,139246117.5626005
796,1590624000,137023075.56382173
797,1590710400,136418532.29003105
798,1590796800,136611323.4842738
799,1590883200,137154429.67185873
800,1590969600,137617139.73592186
801,1591056000,137999195.12527117
802,1591142400,137840541.04064345
803,1591228800,137607786.54154083
804,1591315200,136449130.94842392
805,1591401600,136702324.44351467
806,1591488000,137054242.77347532
807,1591574400,137226782.8407628
808,1591660800,137646769.84640914
809,1591747200,138425630.52970928
810,1591833600,138971142.6679975
811,1591920000,138634194.57107794
812,1592006400,140205037.25068253
813,1592092800,139949480.15152845
814,1592179200,141586230.6802734
815,1592265600,142286126.0769965
816,1592352000,142783847.84154484
